feature_a,feature_b,association,absolute_association,method
APARTMENTS_AVG,APARTMENTS_MEDI,0.9940273050269934,0.9940273050269934,Spearman rho on observed values
ENTRANCES_AVG,ENTRANCES_MEDI,0.9936141387113139,0.9936141387113139,Spearman rho on observed values
CC_DPD_MEAN,CC_DPD_MONTH_COUNT,0.9925853158833814,0.9925853158833814,Spearman rho on observed values
POS_DPD_MAX,POS_DPD_MONTH_COUNT,0.9923375509560346,0.9923375509560346,Spearman rho on observed values
CC_DPD_MAX,CC_DPD_MONTH_RATE,0.992158386412653,0.992158386412653,Spearman rho on observed values
POS_DPD_MAX,POS_DPD_MONTH_RATE,0.9913157009486658,0.9913157009486658,Spearman rho on observed values
ELEVATORS_AVG,ELEVATORS_MEDI,0.9907645159615391,0.9907645159615391,Spearman rho on observed values
YEARS_BUILD_MEDI,YEARS_BUILD_MODE,0.9891497842443406,0.9891497842443406,Spearman rho on observed values
CC_ACTIVE_MONTH_COUNT,CC_MONTH_COUNT,0.9891483138795639,0.9891483138795639,Spearman rho on observed values
YEARS_BUILD_AVG,YEARS_BUILD_MODE,0.9886367989679913,0.9886367989679913,Spearman rho on observed values
CC_DPD_MAX,CC_DPD_MONTH_COUNT,0.9884939213005937,0.9884939213005937,Spearman rho on observed values
BUREAU_DEBT_MAX,BUREAU_DEBT_SUM,0.9882681907192696,0.9882681907192696,Spearman rho on observed values
INST_DUE_MEAN,INST_PAID_MEAN,0.9879651654550523,0.9879651654550523,Spearman rho on observed values
CC_ACTIVE_MONTH_COUNT,CC_OLDEST_MONTH,-0.9871927616351815,0.9871927616351815,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MODE,0.9871804082725838,0.9871804082725838,Spearman rho on observed values
INST_LATE_DAYS_MAX,INST_LATE_DAYS_SUM,0.9864589164839359,0.9864589164839359,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_AVG,YEARS_BEGINEXPLUATATION_MODE,0.9861792202833369,0.9861792202833369,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,0.9860444260390389,0.9860444260390389,Spearman rho on observed values
FLOORSMAX_MEDI,FLOORSMAX_MODE,0.9859150949979867,0.9859150949979867,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,0.9856011406221578,0.9856011406221578,Spearman rho on observed values
AMT_CREDIT,AMT_GOODS_PRICE,0.9851301201888157,0.9851301201888157,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_MEDI,0.9845024268424466,0.9845024268424466,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_AVG,0.9839248774314674,0.9839248774314674,Spearman rho on observed values
FLOORSMIN_MEDI,FLOORSMIN_MODE,0.9829939741282746,0.9829939741282746,Spearman rho on observed values
FLOORSMAX_AVG,FLOORSMAX_MODE,0.9810334972357523,0.9810334972357523,Spearman rho on observed values
INST_SHORTFALL_MEAN,INST_SHORTFALL_SUM,0.9802961239293079,0.9802961239293079,Spearman rho on observed values
NONLIVINGAREA_AVG,NONLIVINGAREA_MEDI,0.9802659013258164,0.9802659013258164,Spearman rho on observed values
BB_DELINQUENT_MONTHS,BB_DELINQUENT_MONTH_RATE,0.9801602124890298,0.9801602124890298,Spearman rho on observed values
NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MEDI,0.9799149669225349,0.9799149669225349,Spearman rho on observed values
INST_SHORTFALL_SUM,INST_SHORT_PAYMENT_COUNT,0.9798420821054029,0.9798420821054029,Spearman rho on observed values
FLOORSMIN_AVG,FLOORSMIN_MODE,0.9796693989621525,0.9796693989621525,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,0.9795870405945108,0.9795870405945108,Spearman rho on observed values
INST_SHORTFALL_MEAN,INST_SHORT_PAYMENT_RATE,0.9786687986657326,0.9786687986657326,Spearman rho on observed values
ELEVATORS_MEDI,ELEVATORS_MODE,0.9780650258450609,0.9780650258450609,Spearman rho on observed values
INST_SHORTFALL_MAX,INST_SHORTFALL_SUM,0.9778987954116095,0.9778987954116095,Spearman rho on observed values
PREV_REFUSAL_RATE,PREV_REFUSED_COUNT,0.9770780702220578,0.9770780702220578,Spearman rho on observed values
BB_DELINQUENT_MONTHS,BB_MAX_DELINQUENCY_LEVEL,0.9770145045091301,0.9770145045091301,Spearman rho on observed values
INST_LATE_DAYS_MEAN,INST_LATE_DAYS_SUM,0.9765785984114443,0.9765785984114443,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAPARTMENTS_AVG,0.9760293251652671,0.9760293251652671,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MODE,0.9753020171639599,0.9753020171639599,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_MODE,0.9750399436830314,0.9750399436830314,Spearman rho on observed values
INST_LATE_DAYS_MAX,INST_LATE_DAYS_MEAN,0.9733975258314304,0.9733975258314304,Spearman rho on observed values
COMMONAREA_MEDI,COMMONAREA_MODE,0.9727013456856202,0.9727013456856202,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAPARTMENTS_MEDI,0.9724823299381298,0.9724823299381298,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAPARTMENTS_MEDI,0.9715792215477225,0.9715792215477225,Spearman rho on observed values
LIVINGAPARTMENTS_MEDI,LIVINGAPARTMENTS_MODE,0.9712247892046839,0.9712247892046839,Spearman rho on observed values
BB_DELINQUENT_MONTH_RATE,BB_MAX_DELINQUENCY_LEVEL,0.9709188788907259,0.9709188788907259,Spearman rho on observed values
APARTMENTS_MEDI,APARTMENTS_MODE,0.9700137949334358,0.9700137949334358,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MEDI,0.9699378136966031,0.9699378136966031,Spearman rho on observed values
YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_AVG,0.9692997217346403,0.9692997217346403,Spearman rho on observed values
PREV_APPLICATION_AMOUNT_MAX,PREV_CREDIT_MAX,0.969189171768414,0.969189171768414,Spearman rho on observed values
ELEVATORS_AVG,ELEVATORS_MODE,0.9687036896122176,0.9687036896122176,Spearman rho on observed values
LIVINGAREA_MEDI,LIVINGAREA_MODE,0.9687010682430274,0.9687010682430274,Spearman rho on observed values
LANDAREA_MEDI,LANDAREA_MODE,0.9686786845165014,0.9686786845165014,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAPARTMENTS_AVG,0.9685857302626054,0.9685857302626054,Spearman rho on observed values
COMMONAREA_AVG,COMMONAREA_MODE,0.9685841595644433,0.9685841595644433,Spearman rho on observed values
LIVINGAPARTMENTS_AVG,LIVINGAPARTMENTS_MODE,0.9667164765640353,0.9667164765640353,Spearman rho on observed values
INST_SHORT_PAYMENT_COUNT,INST_SHORT_PAYMENT_RATE,0.9659879404416675,0.9659879404416675,Spearman rho on observed values
INST_SHORTFALL_MAX,INST_SHORTFALL_MEAN,0.9657484769105793,0.9657484769105793,Spearman rho on observed values
ENTRANCES_MEDI,ENTRANCES_MODE,0.9656251656039258,0.9656251656039258,Spearman rho on observed values
LANDAREA_AVG,LANDAREA_MODE,0.9653890073899514,0.9653890073899514,Spearman rho on observed values
BASEMENTAREA_MEDI,BASEMENTAREA_MODE,0.9643426599710522,0.9643426599710522,Spearman rho on observed values
INST_LATE_DAYS_SUM,INST_LATE_PAYMENT_COUNT,0.9642742021730394,0.9642742021730394,Spearman rho on observed values
LIVINGAREA_AVG,LIVINGAREA_MODE,0.9633318397147342,0.9633318397147342,Spearman rho on observed values
APARTMENTS_AVG,APARTMENTS_MODE,0.963154348610252,0.963154348610252,Spearman rho on observed values
INST_CONTRACT_COUNT,POS_CONTRACT_COUNT,0.9618063424017831,0.9618063424017831,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAPARTMENTS_MODE,0.960956341220866,0.960956341220866,Spearman rho on observed values
BASEMENTAREA_AVG,BASEMENTAREA_MODE,0.9606398858700975,0.9606398858700975,Spearman rho on observed values
INST_SHORTFALL_MEAN,INST_SHORT_PAYMENT_COUNT,0.9589033055821846,0.9589033055821846,Spearman rho on observed values
ENTRANCES_AVG,ENTRANCES_MODE,0.9587557157093158,0.9587557157093158,Spearman rho on observed values
INST_LATE_DAYS_MEAN,INST_LATE_PAYMENT_RATE,0.958644975607514,0.958644975607514,Spearman rho on observed values
INST_CONTRACT_COUNT,PREV_APPROVED_COUNT,0.951494267047967,0.951494267047967,Spearman rho on observed values
NONLIVINGAPARTMENTS_MEDI,NONLIVINGAPARTMENTS_MODE,0.9505191718744265,0.9505191718744265,Spearman rho on observed values
INST_SHORTFALL_SUM,INST_SHORT_PAYMENT_RATE,0.9504210438865607,0.9504210438865607,Spearman rho on observed values
PREV_APPLICATION_AMOUNT_MEAN,PREV_CREDIT_MEAN,0.9493341480019866,0.9493341480019866,Spearman rho on observed values
BUREAU_DEBT_MAX,BUREAU_DEBT_MEAN,0.9488599602095923,0.9488599602095923,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAPARTMENTS_MODE,0.9484114734772495,0.9484114734772495,Spearman rho on observed values
INST_DAYS_SINCE_DUE_MAX,POS_OLDEST_MONTH,-0.9471106603147141,0.9471106603147141,Spearman rho on observed values
CC_BALANCE_MAX,CC_BALANCE_MEAN,0.9449288559302904,0.9449288559302904,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAPARTMENTS_MODE,0.9441396271311273,0.9441396271311273,Spearman rho on observed values
POS_FUTURE_INSTALLMENTS_MEAN,POS_INSTALLMENT_COUNT_MEAN,0.9441372645324281,0.9441372645324281,Spearman rho on observed values
INST_LATE_PAYMENT_COUNT,INST_LATE_PAYMENT_RATE,0.9437653442558038,0.9437653442558038,Spearman rho on observed values
CC_RECEIVABLE_MAX,CC_RECEIVABLE_MEAN,0.943717545092205,0.943717545092205,Spearman rho on observed values
CC_BALANCE_MEAN,CC_RECEIVABLE_MAX,0.9428501067957733,0.9428501067957733,Spearman rho on observed values
CC_BALANCE_MAX,CC_RECEIVABLE_MEAN,0.9425955658606824,0.9425955658606824,Spearman rho on observed values
BUREAU_OVERDUE_CREDIT_COUNT,BUREAU_OVERDUE_TO_CREDIT,0.9411646160363234,0.9411646160363234,Spearman rho on observed values
BUREAU_OVERDUE_CREDIT_COUNT,BUREAU_OVERDUE_SUM,0.941132432001765,0.941132432001765,Spearman rho on observed values
BUREAU_OVERDUE_RATE,BUREAU_OVERDUE_TO_CREDIT,0.9411319226133636,0.9411319226133636,Spearman rho on observed values
BUREAU_OVERDUE_CREDIT_COUNT,BUREAU_OVERDUE_MAX,0.9411291360812429,0.9411291360812429,Spearman rho on observed values
BUREAU_OVERDUE_RATE,BUREAU_OVERDUE_SUM,0.9410856171461744,0.9410856171461744,Spearman rho on observed values
BUREAU_OVERDUE_MAX,BUREAU_OVERDUE_RATE,0.9410826299307445,0.9410826299307445,Spearman rho on observed values
PREV_CREDIT_MAX,PREV_CREDIT_SUM,0.9406930138225216,0.9406930138225216,Spearman rho on observed values
BUREAU_DEBT_MEAN,BUREAU_DEBT_SUM,0.9402029341931529,0.9402029341931529,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MEAN,BUREAU_OVERDUE_TO_CREDIT,0.9400417883648525,0.9400417883648525,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MEAN,BUREAU_OVERDUE_SUM,0.9400099006709558,0.9400099006709558,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MEAN,BUREAU_OVERDUE_MAX,0.9400072792990802,0.9400072792990802,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_OVERDUE_TO_CREDIT,0.9399987258620917,0.9399987258620917,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_OVERDUE_SUM,0.9399743102585073,0.9399743102585073,Spearman rho on observed values
BUREAU_DAYS_OVERDUE_MAX,BUREAU_OVERDUE_MAX,0.9399718672224981,0.9399718672224981,Spearman rho on observed values
NONLIVINGAREA_MEDI,NONLIVINGAREA_MODE,0.9384789799083971,0.9384789799083971,Spearman rho on observed values
LIVINGAREA_AVG,TOTALAREA_MODE,0.9377705471782761,0.9377705471782761,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAPARTMENTS_MEDI,0.9357201132377267,0.9357201132377267,Spearman rho on observed values
LIVINGAREA_MEDI,TOTALAREA_MODE,0.9330698970199554,0.9330698970199554,Spearman rho on observed values
BUREAU_CREDIT_MAX,BUREAU_CREDIT_SUM,0.9321369493197718,0.9321369493197718,Spearman rho on observed values
INST_SHORTFALL_MAX,INST_SHORT_PAYMENT_COUNT,0.9321198995651215,0.9321198995651215,Spearman rho on observed values
POS_CONTRACT_COUNT,PREV_APPROVED_COUNT,0.93144417860339,0.93144417860339,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAPARTMENTS_AVG,0.9311449101093783,0.9311449101093783,Spearman rho on observed values
INST_LATE_DAYS_MEAN,INST_LATE_PAYMENT_COUNT,0.9295789291780987,0.9295789291780987,Spearman rho on observed values
NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_MODE,0.9293565693500311,0.9293565693500311,Spearman rho on observed values
INST_LATE_DAYS_SUM,INST_LATE_PAYMENT_RATE,0.9242801300972499,0.9242801300972499,Spearman rho on observed values
INST_LATE_DAYS_MAX,INST_LATE_PAYMENT_COUNT,0.9230889684005188,0.9230889684005188,Spearman rho on observed values
HAS_INSTALLMENT_HISTORY,HAS_PREVIOUS_APPLICATION,0.9225571155841208,0.9225571155841208,Spearman rho on observed values
CC_BALANCE_MAX,CC_DRAWINGS_SUM,0.9206065652231542,0.9206065652231542,Spearman rho on observed values
CC_DRAWINGS_SUM,CC_RECEIVABLE_MAX,0.9192363966610768,0.9192363966610768,Spearman rho on observed values
CC_LIMIT_MAX,CC_LIMIT_MEAN,0.9178893775074286,0.9178893775074286,Spearman rho on observed values
BUREAU_CREDIT_MAX,BUREAU_CREDIT_MEAN,0.9172606591139053,0.9172606591139053,Spearman rho on observed values
PREV_APPLICATION_AMOUNT_MAX,PREV_CREDIT_SUM,0.9162780053248859,0.9162780053248859,Spearman rho on observed values
CC_DRAWINGS_SUM,CC_PAYMENT_TOTAL_SUM,0.9161163614925478,0.9161163614925478,Spearman rho on observed values
LIVINGAREA_MODE,TOTALAREA_MODE,0.914804413172482,0.914804413172482,Spearman rho on observed values
NONLIVINGAREA_AVG,NONLIVINGAREA_MODE,0.9145627489957554,0.9145627489957554,Spearman rho on observed values
INST_SHORTFALL_MAX,INST_SHORT_PAYMENT_RATE,0.9141727403528921,0.9141727403528921,Spearman rho on observed values
POS_OLDEST_MONTH,PREV_DAYS_SINCE_DECISION_MAX,-0.9124821414017351,0.9124821414017351,Spearman rho on observed values
CC_BALANCE_MEAN,CC_UTILIZATION_MEAN,0.9115431791000868,0.9115431791000868,Spearman rho on observed values
INST_DAYS_SINCE_DUE_MAX,PREV_DAYS_SINCE_DECISION_MAX,0.9102265731520037,0.9102265731520037,Spearman rho on observed values
CC_RECEIVABLE_MEAN,CC_UTILIZATION_MEAN,0.9093828775086326,0.9093828775086326,Spearman rho on observed values
CC_DPD_DEF_MONTH_COUNT,CC_DPD_MONTH_COUNT,0.9093044611286903,0.9093044611286903,Spearman rho on observed values
HAS_INSTALLMENT_HISTORY,HAS_POS_HISTORY,0.9080764815858806,0.9080764815858806,Spearman rho on observed values
CC_DPD_DEF_MONTH_RATE,CC_DPD_MONTH_COUNT,0.9079293584397754,0.9079293584397754,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAREA_AVG,0.9068529980713,0.9068529980713,Spearman rho on observed values
POS_INSTALLMENT_COUNT_MAX,POS_INSTALLMENT_COUNT_MEAN,0.905400842035533,0.905400842035533,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAREA_MEDI,0.9053689565054587,0.9053689565054587,Spearman rho on observed values
PREV_ANNUITY_MAX,PREV_ANNUITY_MEAN,0.9037182273979999,0.9037182273979999,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAREA_MEDI,0.9025795786128942,0.9025795786128942,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAREA_AVG,0.9019898624818519,0.9019898624818519,Spearman rho on observed values
APARTMENTS_AVG,TOTALAREA_MODE,0.9004664240341073,0.9004664240341073,Spearman rho on observed values
EXT_SOURCE_MEAN,EXT_SOURCE_MIN,0.9001805048343823,0.9001805048343823,Spearman rho on observed values
POS_FUTURE_INSTALLMENTS_MEAN,POS_INSTALLMENT_COUNT_MAX,0.8994584758352843,0.8994584758352843,Spearman rho on observed values
LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,0.899283431172601,0.899283431172601,Spearman rho on observed values
CC_BALANCE_MEAN,CC_BALANCE_SUM,0.897935815738399,0.897935815738399,Spearman rho on observed values
CC_BALANCE_SUM,CC_RECEIVABLE_MEAN,0.8967578507625215,0.8967578507625215,Spearman rho on observed values
INST_LATE_DAYS_MAX,INST_LATE_PAYMENT_RATE,0.8967441958491364,0.8967441958491364,Spearman rho on observed values
CC_DPD_DEF_MONTH_RATE,CC_DPD_MONTH_RATE,0.8955016690616595,0.8955016690616595,Spearman rho on observed values
LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,0.8953704562845428,0.8953704562845428,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAREA_MODE,0.8952457599329646,0.8952457599329646,Spearman rho on observed values
APARTMENTS_MEDI,TOTALAREA_MODE,0.8948782656814371,0.8948782656814371,Spearman rho on observed values
CC_BALANCE_SUM,CC_PAYMENT_TOTAL_SUM,0.8944839926074198,0.8944839926074198,Spearman rho on observed values
CC_DPD_DEF_MONTH_COUNT,CC_DPD_MONTH_RATE,0.8943424848284373,0.8943424848284373,Spearman rho on observed values
LIVINGAPARTMENTS_MEDI,LIVINGAREA_AVG,0.8943144869517988,0.8943144869517988,Spearman rho on observed values
LIVINGAPARTMENTS_AVG,LIVINGAREA_MEDI,0.8934890181319554,0.8934890181319554,Spearman rho on observed values
CC_DRAWINGS_MEAN,CC_DRAWINGS_SUM,0.8919523996584214,0.8919523996584214,Spearman rho on observed values
PREV_CREDIT_MAX,PREV_CREDIT_MEAN,0.8915594469994855,0.8915594469994855,Spearman rho on observed values
CC_BALANCE_SUM,CC_RECEIVABLE_MAX,0.8913096015813725,0.8913096015813725,Spearman rho on observed values
CC_BALANCE_MAX,CC_BALANCE_SUM,0.8903477985909198,0.8903477985909198,Spearman rho on observed values
PREV_ANNUITY_MAX,PREV_CREDIT_MAX,0.8901785210920431,0.8901785210920431,Spearman rho on observed values
PREV_ANNUITY_MAX,PREV_APPLICATION_AMOUNT_MAX,0.8870655148644092,0.8870655148644092,Spearman rho on observed values
PREV_DOWN_PAYMENT_MEAN,PREV_DOWN_PAYMENT_RATE_MEAN,0.8859511375801234,0.8859511375801234,Spearman rho on observed values
BUREAU_CLOSED_COUNT,BUREAU_UNIQUE_CREDIT_COUNT,0.885539033415226,0.885539033415226,Spearman rho on observed values
BUREAU_CLOSED_COUNT,BUREAU_CREDIT_COUNT,0.885539033415226,0.885539033415226,Spearman rho on observed values
CC_DRAWINGS_SUM,CC_DRAWING_COUNT_SUM,0.8848137560355058,0.8848137560355058,Spearman rho on observed values
CC_BALANCE_MEAN,CC_DRAWINGS_SUM,0.8806553857530454,0.8806553857530454,Spearman rho on observed values
LIVINGAPARTMENTS_AVG,TOTALAREA_MODE,0.8795896772359281,0.8795896772359281,Spearman rho on observed values
HAS_POS_HISTORY,HAS_PREVIOUS_APPLICATION,0.8794942902147617,0.8794942902147617,Spearman rho on observed values
LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,0.8782833065185548,0.8782833065185548,Spearman rho on observed values
CC_DRAWINGS_SUM,CC_RECEIVABLE_MEAN,0.878209036758645,0.878209036758645,Spearman rho on observed values
APARTMENTS_MEDI,LIVINGAREA_MODE,0.8776263230751652,0.8776263230751652,Spearman rho on observed values
PREV_APPLICATION_AMOUNT_MAX,PREV_APPLICATION_AMOUNT_MEAN,0.8775175365138443,0.8775175365138443,Spearman rho on observed values
CC_DPD_DEF_MONTH_RATE,CC_DPD_MEAN,0.8774370987915706,0.8774370987915706,Spearman rho on observed values
BUREAU_DEBT_MEAN,BUREAU_DEBT_TO_CREDIT,0.8772038822344674,0.8772038822344674,Spearman rho on observed values
APARTMENTS_MODE,TOTALAREA_MODE,0.876059086059701,0.876059086059701,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAREA_MEDI,0.8760031829800797,0.8760031829800797,Spearman rho on observed values
CC_DPD_DEF_MONTH_COUNT,CC_DPD_MEAN,0.8753130296859308,0.8753130296859308,Spearman rho on observed values
LIVINGAPARTMENTS_MEDI,TOTALAREA_MODE,0.8748495818131705,0.8748495818131705,Spearman rho on observed values
INST_PAYMENT_COUNT,INST_UNIQUE_NUMBER_COUNT,0.8739367378841477,0.8739367378841477,Spearman rho on observed values
CC_BALANCE_MEAN,CC_DRAWINGS_MEAN,0.8735913814801134,0.8735913814801134,Spearman rho on observed values
PREV_APPLICATION_AMOUNT_MAX,PREV_CREDIT_MEAN,0.872996613685346,0.872996613685346,Spearman rho on observed values
APARTMENTS_AVG,LIVINGAREA_MODE,0.8717834851865748,0.8717834851865748,Spearman rho on observed values
APARTMENTS_MODE,LIVINGAREA_AVG,0.8705744124102289,0.8705744124102289,Spearman rho on observed values
LIVINGAPARTMENTS_MODE,LIVINGAREA_MEDI,0.8701447310616034,0.8701447310616034,Spearman rho on observed values
CC_DPD_DEF_MONTH_RATE,CC_DPD_MAX,0.8693051475692404,0.8693051475692404,Spearman rho on observed values
